class,genus,species,synonyms,common_names,status
AVES,Amazona,lilacina,,Lilacine Amazon,EN
AVES,Amazona,oratrix,,Yellow-headed Amazon,EN
AVES,Amazona,pretrei,,Red-spectacled Amazon,VU
AVES,Amazona,rhodocorytha,,Red-browed Amazon,EN
AVES,Amazona,tucumana,,Tucuman Amazon,VU
AVES,Amazona,ventralis,,Hispaniolan Amazon,VU
AVES,Amazona,versicolor,,St Lucia Amazon,VU
AVES,Amazona,vinacea,,Vinaceous-breasted Amazon,EN
AVES,Amazona,viridigenalis,,Red-crowned Amazon,EN
AVES,Amazona,vittata,,Puerto Rican Amazon,CR
MAMMALIA,Amblysomus,marleyi,,Marley's golden mole,EN
MAMMALIA,Amblysomus,robustus,,Robust golden mole,VU
AMPHIBIA,Ambystoma,altamirani,Amblystoma altamirani|Ambystoma  zempoalaense|Rhyacosiredon  altamirani|Rhyacosiredon  zempoalaensis ,Mountain stream siredon,EN
AMPHIBIA,Ambystoma,amblycephalum,Ambystoma  amblycephala ,Blunthead salamander,CR
AMPHIBIA,Ambystoma,andersoni,,Anderson's salamander,CR
AMPHIBIA,Ambystoma,bishopi,Linguaelapsus bishopi  ,Reticulated flatwoods salamander,VU
AMPHIBIA,Ambystoma,bombypellum,Ambystoma bombypella,Delicateskin salamander ,CR
AMPHIBIA,Ambystoma,californiense,Ambystoma tigrinum   ,California tiger salamander,VU
AMPHIBIA,Ambystoma,cingulatum,Amblystoma cingulatum  ,Frosted flatwoods salamander,VU
AMPHIBIA,Ambystoma,dumerilii,Amblystoma  dumerili|Bathysiredon  dumerilii|Bathysiredon  dumerilii  subspecies queretarensis |Siredon  dumerilii,Lake Patzcuaro salamander ,CR
AMPHIBIA,Ambystoma,granulosum,,Granular salamander,CR
AMPHIBIA,Ambystoma,leorae,Rhyacosiredon leorae,Leora's stream salamander,CR
AMPHIBIA,Ambystoma,lermaense,Siredon lermaensis,Lake lerma salamander,CR
AMPHIBIA,Ambystoma,mexicanum,Gyrinus mexicanus  ,Axolotl,CR
AMPHIBIA,Ambystoma,ordinarium,Ambystoma ordinaria,Michoacan stream salamander,EN
AMPHIBIA,Ambystoma,taylori,,Taylor's salamander,CR
AMPHIBIA,Ameerega,cainarachi,Epipedobates ardens  |Epipedobates cainarachi  ,Cainarachi poison frog,VU
AMPHIBIA,Ameerega,ingeri,Epipedobates ingeri  ,,CR
AMPHIBIA,Ameerega,planipaleae,Epipedobates planipaleae  ,Oxapampa poison frog,CR
AMPHIBIA,Ameerega,pongoensis,Epipedobates pongoensis,,VU
AMPHIBIA,Ameerega,silverstonei,Epipedobates silverstonei,Silverstone's poison frog,EN
INSECTA,Ameles,fasciipennis,,Spined dwarf mantis,CR
AMPHIBIA,Amietia,inyangae,Afrana inyangae  ,Inyangani river frog,EN
AMPHIBIA,Amietia,johnstoni,Afrana johnstoni  ,Johnston's river frog,EN
AMPHIBIA,Amietophrynus,brauni,Bufo brauni  ,"Dead-leaf toad, Braun's toad",EN
AMPHIBIA,Amietophrynus,djohongensis,Bufo djohongensis  ,,EN
AMPHIBIA,Amietophrynus,pantherinus,Bufo pantherinus  ,Western leopard toad,EN
AMPHIBIA,Amietophrynus,perreti,Bufo perreti  ,,VU
AMPHIBIA,Amietophrynus,taiensis,Bufo amieti  |Bufo taiensis  ,Tai toad,CR
AMPHIBIA,Amietophrynus,villiersi,Bufo villiersi  ,,EN
INSECTA,Ammobates,dusmeti,,,CR
INSECTA,Ammobates,melectoides,,,EN
MAMMALIA,Ammodorcas,clarkei,,"Dibatag, Clarke's gazelle",VU
AVES,Ammodramus,caudacutus,,Saltmarsh sparrow,VU
INSECTA,Ammopelmatus,kelsoensis,,Kelso Jerusalem cricket,VU
INSECTA,Ammopelmatus,muwu,,Port Conception Jerusalem cricket,VU
MAMMALIA,Ammospermophilus,nelsoni,,Nelson's antelope squirrel,EN
MAMMALIA,Ammotragus,lervia,,Aoudad,VU
AMPHIBIA,Amolops,hainanensis,,,EN
AMPHIBIA,Amolops,hongkongensis,,,EN
AMPHIBIA,Amolops,jinjiangensis,,,VU
AMPHIBIA,Amolops,kangtingensis,,,VU
AMPHIBIA,Amolops,loloensis,,Lolokou sucker frog,VU
AMPHIBIA,Amolops,torrentis,,,VU
AMPHIBIA,Amolops,tuberodepressus,,,VU
MAMMALIA,Amorphochilus,schnablii,,Smokey bat,EN
INSECTA,Ampedus,assingi,,,EN
INSECTA,Ampedus,brunnicornis,Ampedus  fontisbellaquei |Elater aethiops ,,VU
INSECTA,Ampedus,hjorti,,,VU
INSECTA,Ampedus,quadrisignatus,,,EN
INSECTA,Amphinotus,nymphula,Ocytettix nymphula  ,,EN
INSECTA,Amphinotus,pupulus,Ocytettix pupulus  ,,EN
AVES,Amytornis,woodwardi,,White-throated grasswren,VU
INSECTA,Amyttacta,marakelensis,,Marakele delicate katydid,VU
INSECTA,Anaglyptus,luteofasciatus,,,EN
INSECTA,Anaglyptus,praecellens,,,EN
AVES,Anairetes,alpinus,,Ash-breasted tit-tyrant,EN
AVES,Anarhynchus,frontalis,,Wrybill,VU
AVES,Anas,albogularis,,Andaman teal,VU
AVES,Anas,aucklandica,,Auckland teal,VU
AVES,Anas,bernieri,,Madagascar teal,EN
AVES,Anas,chlorotis,,Brown teal,EN
AVES,Anas,eatoni,,Southern pintail,VU
AVES,Anas,laysanensis,,Laysan duck,CR
AVES,Anas,luzonica,,Philippine duck,VU
AVES,Anas,melleri,,Meller's duck,EN
AVES,Anas,nesiotis,,Campbell teal,EN
AVES,Anas,wyvilliana,,Hawaiian duck,EN
AMPHIBIA,Anaxyrus,californicus,Bufo californicus  ,Arroyo toad,EN
AMPHIBIA,Anaxyrus,canorus,Bufo canorus  ,Yosemite park toad,EN
AMPHIBIA,Anaxyrus,exsul,Bufo exsul  ,Black toad,VU
AMPHIBIA,Anaxyrus,houstonensis,Bufo houstonensis  ,Houston toad,EN
AMPHIBIA,Anaxyrus,nelsoni,Bufo nelsoni  ,,EN
AMPHIBIA,Andinobates,abditus,Dendrobates abditus  ,Collins' poison frog,CR
AMPHIBIA,Andinobates,altobueyensis,Dendrobates altobueyensis  ,,VU
AMPHIBIA,Andinobates,bombetes,Dendrobates bombetes ,Cauca poison frog,EN
AMPHIBIA,Andinobates,daleswansoni,Dendrobates daleswansoni ,,VU
